Date,spotPrice,year,spotPriceRolling,AveragePerYear,Year
2018-01-17 07:00:00,383.65,2018,,,2018
2018-01-17 08:00:00,441.73,2018,,,2018
2018-01-17 09:00:00,417.55,2018,,,2018
2018-01-17 10:00:00,391.9,2018,,,2018
2018-01-17 11:00:00,383.16,2018,,,2018
2018-01-17 12:00:00,341.49,2018,,,2018
2018-01-17 13:00:00,319.77,2018,,,2018
2018-01-17 14:00:00,318.2,2018,,,2018
2018-01-17 15:00:00,325.38,2018,,,2018
2018-01-17 16:00:00,373.82,2018,,,2018
2018-01-17 17:00:00,382.27,2018,,,2018
2018-01-17 18:00:00,377.75,2018,,,2018
2018-01-17 19:00:00,336.68,2018,,,2018
2018-01-17 20:00:00,306.61,2018,,,2018
2018-01-17 21:00:00,300.41,2018,,,2018
2018-01-17 22:00:00,294.03,2018,,,2018
2018-01-17 23:00:00,288.23,2018,,,2018
2018-01-18 00:00:00,286.58,2018,,,2018
2018-01-18 01:00:00,281.46,2018,,,2018
2018-01-18 02:00:00,280.08,2018,,,2018
2018-01-18 03:00:00,278.9,2018,,,2018
2018-01-18 04:00:00,282.93,2018,,,2018
2018-01-18 05:00:00,294.45,2018,,,2018
2018-01-18 06:00:00,307.05,2018,,,2018
2018-01-18 07:00:00,422.48,2018,,,2018
2018-01-18 08:00:00,414.81,2018,,,2018
2018-01-18 09:00:00,413.33,2018,,,2018
2018-01-18 10:00:00,402.6,2018,,,2018
2018-01-18 11:00:00,387.15,2018,,,2018
2018-01-18 12:00:00,368.16,2018,,,2018
2018-01-18 13:00:00,352.51,2018,,,2018
2018-01-18 14:00:00,342.97,2018,,,2018
2018-01-18 15:00:00,361.47,2018,,,2018
2018-01-18 16:00:00,387.35,2018,,,2018
2018-01-18 17:00:00,414.81,2018,,,2018
2018-01-18 18:00:00,413.72,2018,,,2018
2018-01-18 19:00:00,408.31,2018,,,2018
2018-01-18 20:00:00,383.12,2018,,,2018
2018-01-18 21:00:00,337.55,2018,,,2018
2018-01-18 22:00:00,320.53,2018,,,2018
2018-01-18 23:00:00,299.66,2018,,,2018
2018-01-19 00:00:00,294.81,2018,,,2018
2018-01-19 01:00:00,294.52,2018,,,2018
2018-01-19 02:00:00,289.8,2018,,,2018
2018-01-19 03:00:00,290.49,2018,,,2018
2018-01-19 04:00:00,295.01,2018,,,2018
2018-01-19 05:00:00,312.11,2018,,,2018
2018-01-19 06:00:00,384.53,2018,,,2018
2018-01-19 07:00:00,489.88,2018,,,2018
2018-01-19 08:00:00,510.41,2018,,,2018
2018-01-19 09:00:00,494.89,2018,,,2018
2018-01-19 10:00:00,487.22,2018,,,2018
2018-01-19 11:00:00,460.69,2018,,,2018
2018-01-19 12:00:00,422.46,2018,,,2018
2018-01-19 13:00:00,409.49,2018,,,2018
2018-01-19 14:00:00,388.07,2018,,,2018
2018-01-19 15:00:00,410.57,2018,,,2018
2018-01-19 16:00:00,435.34,2018,,,2018
2018-01-19 17:00:00,487.12,2018,,,2018
2018-01-19 18:00:00,488.8,2018,,,2018
2018-01-19 19:00:00,440.15,2018,,,2018
2018-01-19 20:00:00,381.58,2018,,,2018
2018-01-19 21:00:00,363.01,2018,,,2018
2018-01-19 22:00:00,352.2,2018,,,2018
2018-01-19 23:00:00,320.46,2018,,,2018
2018-01-20 00:00:00,302.98,2018,,,2018
2018-01-20 01:00:00,292.07,2018,,,2018
2018-01-20 02:00:00,287.95,2018,,,2018
2018-01-20 03:00:00,285.1,2018,,,2018
2018-01-20 04:00:00,284.8,2018,,,2018
2018-01-20 05:00:00,287.26,2018,,,2018
2018-01-20 06:00:00,291.68,2018,,,2018
2018-01-20 07:00:00,303.18,2018,,,2018
2018-01-20 08:00:00,325.0,2018,,,2018
2018-01-20 09:00:00,364.5,2018,,,2018
2018-01-20 10:00:00,372.95,2018,,,2018
2018-01-20 11:00:00,399.78,2018,,,2018
2018-01-20 12:00:00,364.31,2018,,,2018
2018-01-20 13:00:00,334.23,2018,,,2018
2018-01-20 14:00:00,333.74,2018,,,2018
2018-01-20 15:00:00,375.8,2018,,,2018
2018-01-20 16:00:00,400.96,2018,,,2018
2018-01-20 17:00:00,439.09,2018,,,2018
2018-01-20 18:00:00,473.69,2018,,,2018
2018-01-20 19:00:00,363.32,2018,,,2018
2018-01-20 20:00:00,316.05,2018,,,2018
2018-01-20 21:00:00,320.87,2018,,,2018
2018-01-20 22:00:00,317.82,2018,,,2018
2018-01-20 23:00:00,312.02,2018,,,2018
2018-01-21 00:00:00,311.92,2018,,,2018
2018-01-21 01:00:00,298.95,2018,,,2018
2018-01-21 02:00:00,287.44,2018,,,2018
2018-01-21 03:00:00,282.23,2018,,,2018
2018-01-21 04:00:00,283.12,2018,,,2018
2018-01-21 05:00:00,285.58,2018,,,2018
2018-01-21 06:00:00,289.8,2018,,,2018
2018-01-21 07:00:00,302.29,2018,,,2018
2018-01-21 08:00:00,314.97,2018,,,2018
2018-01-21 09:00:00,338.66,2018,,,2018
2018-01-21 10:00:00,373.07,2018,,,2018
2018-01-21 11:00:00,392.73,2018,,,2018
2018-01-21 12:00:00,389.48,2018,,,2018
2018-01-21 13:00:00,362.35,2018,,,2018
2018-01-21 14:00:00,332.66,2018,,,2018
2018-01-21 15:00:00,340.33,2018,,,2018
2018-01-21 16:00:00,373.95,2018,,,2018
2018-01-21 17:00:00,422.02,2018,,,2018
2018-01-21 18:00:00,472.65,2018,,,2018
2018-01-21 19:00:00,421.93,2018,,,2018
2018-01-21 20:00:00,359.4,2018,,,2018
2018-01-21 21:00:00,319.79,2018,,,2018
2018-01-21 22:00:00,316.35,2018,,,2018
2018-01-21 23:00:00,300.03,2018,,,2018
2018-01-22 00:00:00,287.64,2018,,,2018
2018-01-22 01:00:00,280.96,2018,,,2018
2018-01-22 02:00:00,278.99,2018,,,2018
2018-01-22 03:00:00,280.46,2018,,,2018
2018-01-22 04:00:00,284.49,2018,,,2018
2018-01-22 05:00:00,292.26,2018,,,2018
2018-01-22 06:00:00,326.37,2018,,,2018
2018-01-22 07:00:00,422.22,2018,,,2018
2018-01-22 08:00:00,465.97,2018,,,2018
2018-01-22 09:00:00,451.22,2018,,,2018
2018-01-22 10:00:00,442.18,2018,,,2018
2018-01-22 11:00:00,475.7,2018,,,2018
2018-01-22 12:00:00,462.03,2018,,,2018
2018-01-22 13:00:00,465.87,2018,,,2018
2018-01-22 14:00:00,455.55,2018,,,2018
2018-01-22 15:00:00,431.95,2018,,,2018
2018-01-22 16:00:00,432.44,2018,,,2018
2018-01-22 17:00:00,498.6,2018,,,2018
2018-01-22 18:00:00,501.36,2018,,,2018
2018-01-22 19:00:00,472.36,2018,,,2018
2018-01-22 20:00:00,420.94,2018,,,2018
